大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——001包：气相色谱-质谱联用仪公开招标公告,中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——001包：气相色谱-质谱联用仪,货物/专用设备/专用仪器仪表/地质勘探、钻采及人工地震仪器,中国地质调查局自然资源综合调查指挥中心,北京市,2022年01月19日  17:38,"2022年01月19日至2022年01月26日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座206室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月16日  09:30,北京市海淀区三里河路5号五矿大厦四层会议室,￥348.000000万元（人民币）,程皓、席桥,010-88821635,北京市西城区红莲南路55号,别女士010-59305174,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团大厦D座206室,席桥、程皓 010-88821635,技术需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538356.htm,购买登记表-（开票通知单）.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538356.htm
吉林大学第一医院数字化手术室系统采购项目公开招标公告,吉林大学第一医院数字化手术室系统采购项目,货物/通用设备/计算机设备及软件/其他计算机设备及软件,吉林大学第一医院,长春市,2022年01月19日  17:42,"2022年01月20日至2022年01月26日, 每日上午:9:00 至 11:00  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥600,吉林省长春市南关区临河街8377号中海国际广场A座11层1116室,2022年02月14日  09:30,吉林省长春市南关区临河街8377号中海国际广场A座11层1116室,￥1670.000000万元（人民币）,布磊,0431-80604031,长春市新民大街1号,陈老师0431-88782235,北京中金国创招标代理有限公司,吉林省长春市南关区临河街8377号中海国际广场A座11层1116室,布磊、李佳馨0431-80604031,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538583.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538583.htm
中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——002包：电子探针公开招标公告,中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——002包：电子探针,货物/专用设备/专用仪器仪表/地质勘探、钻采及人工地震仪器,中国地质调查局自然资源综合调查指挥中心,北京市,2022年01月19日  17:44,"2022年01月19日至2022年01月26日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座206室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月16日  09:30,北京市海淀区三里河路5号五矿大厦四层会议室,￥400.000000万元（人民币）,程皓、席桥,010-88821635,北京市西城区红莲南路55号,别女士010-59305174,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团大厦D座206室,席桥、程皓 010-88821635,技术需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538407.htm,购买登记表-（开票通知单）.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538407.htm
中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——003包：电感耦合等离子体质谱仪公开招标公告,中国地质调查局自然资源综合调查指挥中心2021年统购实验测试装备——003包：电感耦合等离子体质谱仪,货物/专用设备/专用仪器仪表/地质勘探、钻采及人工地震仪器,中国地质调查局自然资源综合调查指挥中心,北京市,2022年01月19日  17:48,"2022年01月19日至2022年01月26日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座206室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月16日  09:30,北京市海淀区三里河路5号五矿大厦四层会议室,￥300.000000万元（人民币）,程皓、席桥,010-88821635,北京市西城区红莲南路55号,别女士010-59305174,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团大厦D座206室,席桥、程皓 010-88821635,技术需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538444.htm,购买登记表-（开票通知单）.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538444.htm
平湖市消防救援大队办公区、招待所、厨房保洁服务及餐饮服务项目（2022-2023）公开招标公告,平湖市消防救援大队办公区、招待所、厨房保洁服务及餐饮服务项目（2022-2023）,服务/住宿和餐饮服务/餐饮服务,平湖市消防救援大队,平湖市,2022年01月19日  22:30,"2022年01月19日至2022年01月28日, 每日上午:9:00 至 11:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,嘉兴市北科建创新园58号楼二楼,2022年02月11日  14:00,浙江省成套工程有限公司开标室（嘉兴市华云路198号六幢北楼二楼会议室）,￥60.482400万元（人民币）,项建海,18668242080,平湖市当湖西路320号,夏先生，18258344040,浙江省成套工程有限公司,嘉兴市华云路198号六幢北楼二楼,章建锋18668242080,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538989.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17538989.htm
华南理工大学广州国际校区一期工程消防设施维护保养服务项目公开招标公告,华南理工大学广州国际校区一期工程消防设施维护保养服务项目,服务/维修和保养服务/其他维修和保养服务,华南理工大学,广东省,2022年01月19日  23:10,"2022年01月20日至2022年01月26日, 每日上午:9:00 至 12:00  下午:12:00 至 17:30（北京时间，法定节假日除外）",￥300,通过链接http://www.zztender.com/,2022年02月17日  09:30,广州市天河区龙怡路117号银汇大厦5楼广东志正招标有限公司会议室,￥119.500000万元（人民币）,滕小姐、李小姐,020-85165610,广州市天河区五山华南理工大学南秀村物资大楼,文老师 020-22236003,广东志正招标有限公司,广州市天河区龙怡路117号银汇大厦5楼,李小姐 020-87554018  85165610,ZZ0211038华南理工大学广州国际校区一期工程消防设施维护保养服务项目（发售稿）.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17539010.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17539010.htm
某单位车辆器材社会化保障网点项目公开招标公告,车辆器材社会化保障网点项目,货物/通用设备/车辆/车辆附属设施及零部件,某单位,徐州市,2022年01月20日  08:54,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥200,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室。,2022年02月17日  09:30,江苏海外集团国际工程咨询有限公司徐州分公司开标室（江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1017室）。,￥80.000000万元（人民币）,孙逊,0516-83999055 ,江苏省徐州市,翟先生：18912012730     李先生：18114989182,江苏海外集团国际工程咨询有限公司,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室 ,孙逊0516-83999055 ,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539248.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539248.htm
公安部专用举报电话平台升级改造项目公开招标公告,公安部专用举报电话平台升级改造项目,服务/其他服务,公安部机关政府采购办公室,北京市,2022年01月20日  09:36,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥600,中国通用招标网（http://www.china-tender.com.cn/）进行免费注册，注册完成后请按照网上操作流程,2022年02月17日  14:00,北京市丰台区西三环南路14号院首科大厦A座4层405号中国通用咨询投资有限公司会议中心,￥427.012000万元（人民币）,车雯雯,010－63348288,北京东长安街14号,公安部机关政府采购办公室 公安部廉政监督举报电话：12389,中技国际招标有限公司,北京市丰台区西三环中路90号通用技术大厦1110室,车雯雯、张赤南 010-63348288、010-63348276,招标公告及采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539356.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539356.htm
武警某部车辆定点维修项目二次招标公告,武警某部车辆定点维修项目,服务/维修和保养服务/车辆维修和保养服务/车辆维修和保养服务,武警某部,大庆市,2022年01月20日  10:00,"2022年01月20日至2022年01月26日, 每日上午:8:30 至 11:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,中达同舟工程咨询有限公司（哈尔滨市道里区中国工艺文化创意园黑龙江(外滩1898)A4栋2单元11层1101号开标大厅）,2022年02月18日  10:00,中达同舟工程咨询有限公司（哈尔滨市道里区中国工艺文化创意园黑龙江(外滩1898)A4栋2单元11层1101号开标大厅）,￥70.000000万元（人民币）,高先生,0451-84361620-803,大庆市,王先生 0459-8860199,中达同舟工程咨询有限公司,哈尔滨市道里区群力外滩（1898）A4栋11层,高先生 0451-84361620-803,二次维修招标公告1.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539573.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539573.htm
中国信息通信研究院工业基础数据库构建与研究-数据库建设等采购项目公开招标公告,中国信息通信研究院工业基础数据库构建与研究-数据库建设等采购项目,服务/信息技术服务/软件开发服务/基础软件开发服务,中国信息通信研究院,北京市,2022年01月20日  10:14,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,中国机械进出口（集团）有限公司（北京市西城区阜成门外大街一号四川大厦西楼）2102B房间,2022年02月14日  09:30,中国机械进出口（集团）有限公司2802会议室（北京市西城区阜外大街1号四川大厦西楼）,￥50.000000万元（人民币）,田嘉、姜星月,010-68991564、86433075,北京市海淀区花园北路52号,葛晓菲；gexiaofei@caict.ac.cn,中国机械进出口(集团)有限公司,北京市西城区阜外大街一号四川大厦西楼,田嘉、姜星月；010-68991564、86433075,7N01-技术需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539640.htm,购买招标文件采购文件登记表.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539640.htm
中国信息通信研究院工业互联网网络安全公共服务平台（后补助）-工业互联网资产探测分析子系统等采购项目公开招标公告,中国信息通信研究院工业互联网网络安全公共服务平台（后补助）-工业互联网资产探测分析子系统等采购项目,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,中国信息通信研究院,北京市,2022年01月20日  10:29,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,中国机械进出口（集团）有限公司（北京市西城区阜成门外大街一号四川大厦西楼）2102B房间,2022年02月14日  09:30,中国机械进出口（集团）有限公司2802会议室（北京市西城区阜外大街1号四川大厦西楼）,￥205.000000万元（人民币）,冷润、姜星月,010-68991809、86433075,北京市海淀区花园北路52号,王爱玲；wangailing@caict.ac.cn,中国机械进出口(集团)有限公司,北京市西城区阜外大街一号四川大厦西楼,冷润、姜星月；010-68991809、86433075,7W03-技术需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539705.htm,购买招标文件采购文件登记表.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539705.htm
公安部机关政府采购办公室2021年度等级保护测评统筹项目公开招标公告,2021年度等级保护测评统筹项目,服务/信息技术服务/测试评估认证服务,公安部机关政府采购办公室,北京市,2022年01月20日  10:55,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 12:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,为减少人员聚集，疫情期间我公司招标文件暂停现场发售，以电子邮件送达采购文件的方式发售。非常时期如有不便，敬请谅解。,2022年02月10日  09:30,"投标文件递交地点：北京市海淀大街8号中钢国际广场1层东门。
开标地点：北京市海淀大街8号中钢国际广场16层会议室。",￥132.890000万元（人民币）,曾霁云、马娟娟、陈俊、聂娅琼,010-62688223、62686389、62688251,北京东长安街14号,公安部廉政监督举报电话：12389,中钢招标有限责任公司,北京市海淀区海淀大街8号中钢国际广场16层,曾霁云、马娟娟、陈俊、聂娅琼，购买文件、发票咨询：010-62688223、516499184@qq.com、项目问询：010-62686389、529894854@qq.com,2241STC40181_招标公告2022.1.20zjy_公安部2021年度等级保护测评统筹项目.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539836.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539836.htm
国家海洋技术中心低噪声数据采集存储模块采购项目（2021）公开招标公告,国家海洋技术中心低噪声数据采集存储模块采购项目（2021）,货物/专用设备/海洋仪器设备/其他海洋类仪器设备,国家海洋技术中心,天津市,2022年01月20日  10:49,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥300,中招国际招标有限公司  六层第五会议室,2022年02月10日  09:30,中招国际招标有限公司  六层第五会议室,￥168.000000万元（人民币）,孙峤,010-62192030,天津市南开区芥园西道219号,岳才健；022-27536959,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦6层/9层,孙峤  韩伟；010-62192030,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539686.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539686.htm
日照出入境边检站业务用房网络通信视频会议及网络设备采购项目招标公告,日照出入境边检站业务用房网络通信视频会议及网络设备采购项目,,中华人民共和国日照出入境边防检查站,日照市,2022年01月20日  10:56,"2022年01月20日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥141.500000万元（人民币）,陆瑶,15810238646,山东省日照市东港区黄海一路107号,0633-7985237,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539713.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539713.htm
东华大学实验室危险废物处置项目（第二次）公开招标公告,实验室危险废物处置项目,服务/专业技术服务/其他专业技术服务,东华大学,上海市,2022年01月20日  11:04,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:30  下午:13:00 至 16:30（北京时间，法定节假日除外）",￥500,微信公众号“东松投标”,2022年02月10日  09:30,上海市宁波路1号申华金融大厦10楼会议室,￥260.000000万元（人民币）,楼莹雯、苏文朋、纪老师,021-63230480-8615、8628，021-67798733,上海市松江区人民北路2999号,纪老师 021-67798733,上海东松医疗科技股份有限公司,上海市宁波路1号申华金融大厦11楼,楼莹雯、苏文朋021-63230480-8615、8628,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539754.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539754.htm
中国科学院高能物理研究所二维精密位移系统采购项目公开招标公告,中国科学院高能物理研究所二维精密位移系统采购项目,"货物/通用设备/仪器仪表/分析仪器/其他分析仪器,货物/通用设备/仪器仪表/其他仪器仪表",中国科学院高能物理研究所,北京市,2022年01月20日  11:09,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥600,www.o-science.com,2022年02月16日  09:00,中国科学院高能物理研究所主楼A419会议室,￥98.000000万元（人民币）,耿佳 王淑文 张维,010-68290515/0513/68917583,北京市石景山区玉泉路19号乙院,010-88231046-12,东方国际招标有限责任公司,北京市海淀区西三环北路甲2号院科技园6号楼13层01室,耿佳 王淑文 张维 010-68290515/0513/68917583 jgeng@oitc.com.cn,0287技术部分.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539782.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17539782.htm
国家体育总局体育彩票管理中心“2021体彩追梦人”活动执行项目遴选采购公告,国家体育总局体育彩票管理中心“2021体彩追梦人”活动执行项目,服务/文化、体育、娱乐服务/体育服务/其他体育服务,国家体育总局体育彩票管理中心,北京市,2022年01月19日  11:27,"2022年01月19日至2022年01月25日, 每日上午:9:00 至 12:00  下午:12:00 至 16:00（北京时间，法定节假日除外）",￥600,联系北京市海淀区三里河路5号中国五矿集团D座210室（010-88821715）获取招标文件，具体要求请见附件1 公告全文,2022年01月29日  09:30,北京市海淀区三里河路5号中国五矿集团D座四层会议室【受疫情防控影响，如有变化将提前告知】,￥60.000000万元（人民币）,范俊峰、李文杰,010-88821715,北京朝阳区东三环南路23号,李畅老师、010-87731628,五矿国际招标有限责任公司,北京市海淀区三里河路5号五矿大厦D座210室,范俊峰、李文杰   010-88821715,附件1-公告全文-体彩追梦人活动-0119.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536156.htm,附件3-开票通知单-“2021体彩追梦人”活动执行项目.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536156.htm
中国科学院合肥物质科学研究院EAST PF电流引线、电流引线罐及超导接头性能提升公开招标公告,EAST PF电流引线、电流引线罐及超导接头性能提升,货物/专用设备/核工业专用设备/核聚变试验装置,中国科学院合肥物质科学研究院,蜀山区,2022年01月19日  11:39,"2022年01月19日至2022年01月27日, 每日上午:8:00 至 12:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥400,安徽省合肥市蜀山区蜀山湖路350号四号楼321室,2022年02月18日  14:00,安徽省合肥市蜀山区蜀山湖路350号四号楼321室,￥475.000000万元（人民币）,宋方方,0551-65595019,安徽省合肥市蜀山区蜀山湖路350号,宋方方   055165595019,详见公告正文,详见公告正文,详见公告正文,004-采购需求-电流引线.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536345.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536345.htm
重庆机场边检站边坡绿化种植（21WC0138）公开招标公告,重庆机场边检站边坡绿化种植,工程/构筑物施工/环保工程施工/荒山绿化工程施工,中华人民共和国重庆出入境边防检查总站,渝北区,2022年01月19日  13:20,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 12:00  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥0,中国政府采购网,2022年02月11日  10:00,重庆市公共资源交易中心开标厅（地址：重庆市渝北区青枫北路6号渝兴广场B10栋2层）,￥206.257957万元（人民币）,杨敬杰  毛艺洁  , 023-67707169  67561982,重庆市渝北区松石支路285号,李义023-89073731,重庆市政府采购中心,重庆市江北区五简路2号重庆咨询大厦B座503室,杨敬杰  毛艺洁    023-67707169  67561982,公开招标—重庆机场边检站边坡绿化种植（第二次终审稿）.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536489.htm,重庆机场边检站边坡绿化施工图.zip-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536489.htm
北京大学第六医院2022年门诊导医导诊及医疗助理服务项目公开招标公告,北京大学第六医院2022年门诊导医导诊及医疗助理服务项目,服务/医疗卫生和社会服务/医疗卫生服务/医院服务,北京大学第六医院,北京市,2022年01月19日  14:06,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,中招联合招标采购平台（网址：www.365trade.com.cn）线上购买,2022年02月09日  09:30,中招国际招标有限公司六层会议室(北京市海淀区学院南路62号中关村资本大厦6层),￥55.200000万元（人民币）,冯佳义、李艳君、崔健、侯云燕,010-62108146/8111,北京市海淀区花园北路51号,010-62723730,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦6层&9层,010-62108146/8111,03 服务需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536576.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536576.htm
北京大学第六医院综合维修外包服务项目公开招标公告,北京大学第六医院综合维修外包服务项目,服务/维修和保养服务/其他维修和保养服务,北京大学第六医院,北京市,2022年01月19日  14:13,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,中招联合招标采购平台（网址：www.365trade.com.cn）线上购买,2022年02月09日  14:00,中招国际招标有限公司六层会议室(北京市海淀区学院南路62号中关村资本大厦6层),￥75.000000万元（人民币）,冯佳义、李艳君、崔健、侯云燕,010-62108146/8111,北京市海淀区花园北路51号,010-62723730,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦6层&9层,010-62108146/8111,03 服务需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536613.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536613.htm
北京交通大学食堂食用油采购项目【第三次】公开招标公告,北京交通大学食堂食用油采购项目,服务/批发和零售服务/批发服务/食品和饮料批发服务,北京交通大学,北京市,2022年01月19日  14:38,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 11:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,北京市海淀区莲花池东路39号西金大厦11层新华招标,2022年02月18日  09:30,北京市海淀区莲花池东路39号西金大厦11层新华招标,￥96.000000万元（人民币）,王乙,010-63905838,北京市海淀区上园村3号,侯老师 010-51683701,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层新华招标,王乙 010-63905838,HW1717-采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536718.htm,HW1717-公开招标公告(1)(1).docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536718.htm
西南交通大学高温超导磁悬浮直线电机定子试制采购项目公开招标公告,西南交通大学高温超导磁悬浮直线电机定子试制采购项目,货物/通用设备/电气设备/电机/直线电机,西南交通大学,成都市,2022年01月19日  14:41,"2022年01月20日至2022年01月26日, 每日上午:8:00 至 12:00  下午:12:00 至 17:30（北京时间，法定节假日除外）",￥300,西南交通大学采购管理信息系统（http://zsc.swjtu.edu.cn/WF_CG/login.html）,2022年02月16日  09:30,成都市金牛区金科中路18号6楼（中恒德佳工程咨询有限公司）开标厅,￥325.000000万元（人民币）,周女士、尹女士,028-61363972、028-61363971-805、028-61363971-899,四川省成都市高新区西部园区西南交通大学犀浦校区综合楼703室,贾老师028-66367322,中恒德佳工程咨询有限公司,成都市金牛区金科中路18号六楼,周女士、尹女士028-61363972、028-61363971-805、028-61363971-899,项目技术、服务及其他商务要求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536737.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536737.htm
西南交通大学高温超导磁悬浮悬浮架及直线电机动子试制采购项目公开招标公告,西南交通大学高温超导磁悬浮悬浮架及直线电机动子试制采购项目,货物/通用设备/电气设备/电机/直线电机,西南交通大学,成都市,2022年01月19日  14:46,"2022年01月20日至2022年01月26日, 每日上午:8:30 至 12:00  下午:12:00 至 17:30（北京时间，法定节假日除外）",￥300,西南交通大学采购管理信息系统（http://zsc.swjtu.edu.cn/WF_CG/login.html）,2022年02月16日  14:30,成都市金牛区金科中路18号6楼（中恒德佳工程咨询有限公司）开标厅,￥278.000000万元（人民币）,周女士、尹女士,028-61363972、028-61363971-805、028-61363971-899,四川省成都市高新区西部园区西南交通大学犀浦校区综合楼703室,贾老师028-66367322,中恒德佳工程咨询有限公司,成都市金牛区金科中路18号六楼,周女士、尹女士028-61363972、028-61363971-805、028-61363971-899,技术、服务及其他商务要求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536753.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536753.htm
直属（管）公立医院就医环境改造（北京中医药大学东方医院）施工采购项目采购公告,直属（管）公立医院就医环境改造（北京中医药大学东方医院）施工采购项目,,北京中医药大学东方医院,市辖区,2022年01月19日  15:10,"0002年11月30日至2022年01月16日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年01月17日  09:00,西章胡同9号院,￥1961.960000万元（人民币）,周雅雯,010-63099645,北京市丰台区方庄小区芳星园一区六号,13717927921,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536921.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17536921.htm
北京科技大学住宅区配套用房装修改造幼儿园改造工程采购项目采购公告,北京科技大学住宅区配套用房装修改造幼儿园改造工程采购项目,,北京科技大学,市辖区,2022年01月19日  15:25,"0002年11月30日至2022年01月21日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年01月22日  09:00,西章胡同9号院,￥1900.000000万元（人民币）,周雅雯,010-63099645,北京市海淀区学院路30号,010-62332625,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537024.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537024.htm
中央司法警官学院图书馆电力改造项目公开招标公告,中央司法警官学院图书馆电力改造项目,工程/建筑安装工程/电力系统安装/其他电力系统安装,中央司法警官学院,保定市,2022年01月19日  15:29,"2022年01月21日至2022年01月27日, 每日上午:9:00 至 14:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥0,登录“保定市公共资源交易服务平台”进行招标文件的获取与下载，并在系统中及时查看有无澄清及变更,2022年02月11日  09:00,保定市民服务中心第二开标室（本项目采用全流程电子化形式，投标人不参与现场开标）,￥77.526133万元（人民币）,张经理,17731172372,保定市,柴老师0312-5911245,河北筑城工程招标咨询有限公司,石家庄市桥西区红旗大街88号翰林观天下23号楼,张经理17731172372,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537260.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537260.htm
长沙市消防救援支队2021装备采购LW-医疗器械、药品物资类（第三次）公开招标公告,长沙市消防救援支队2021装备采购LW-医疗器械、药品物资类,货物/专用设备/政法、检测专用设备/消防设备,长沙市消防救援支队,市辖区,2022年01月19日  15:41,"2022年01月19日至2022年01月26日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥400,龙武国际工程咨询有限公司（长沙市芙蓉区八一路399号壹号座品B座16楼1604房）,2022年02月10日  14:30,龙武国际工程咨询有限公司（长沙市芙蓉区八一路399号壹号座品B座16楼1604房）。,￥89.952500万元（人民币）,高枫,15575127588,湖南省长沙市开福区学堂园路156号长沙市消防救援支队,张树、0731-82686183,龙武国际工程咨询有限公司,长沙市芙蓉区八一路399号壹号座品B座16楼1604房,高枫、曹新权、谢俊  0731-85868178、15575127588,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537154.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220119_17537154.htm
